id,word,condition,preference,item,felicitous,mono
099039,algunos,44,1,item_1,felicitous,mono
099039,algunos,44,1,item_2,felicitous,mono
099039,algunos,44,1,item_3,felicitous,mono
099039,algunos,44,1,item_4,felicitous,mono
099039,algunos,44,1,item_5,felicitous,mono
099039,algunos,44,1,item_6,felicitous,mono
099039,algunos,44,1,item_7,felicitous,mono
099039,algunos,44,0,item_8,felicitous,mono
099039,algunos,44,0,item_9,felicitous,mono
099039,algunos,44,0,item_10,felicitous,mono
099039,algunos,34,1,item_1,infelicitous,mono
099039,algunos,34,1,item_2,infelicitous,mono
099039,algunos,34,1,item_3,infelicitous,mono
099039,algunos,34,1,item_4,infelicitous,mono
099039,algunos,34,1,item_5,infelicitous,mono
099039,algunos,34,1,item_6,infelicitous,mono
099039,algunos,34,1,item_7,infelicitous,mono
099039,algunos,34,1,item_8,infelicitous,mono
099039,algunos,34,1,item_9,infelicitous,mono
099039,algunos,34,0,item_10,infelicitous,mono
099039,unos,44,1,item_1,felicitous,mono
099039,unos,44,1,item_2,felicitous,mono
099039,unos,44,1,item_3,felicitous,mono
099039,unos,44,1,item_4,felicitous,mono
099039,unos,44,1,item_5,felicitous,mono
099039,unos,44,1,item_6,felicitous,mono
099039,unos,44,1,item_7,felicitous,mono
099039,unos,44,1,item_8,felicitous,mono
099039,unos,44,0,item_9,felicitous,mono
099039,unos,44,0,item_10,felicitous,mono
099039,unos,34,1,item_1,infelicitous,mono
099039,unos,34,1,item_2,infelicitous,mono
099039,unos,34,1,item_3,infelicitous,mono
099039,unos,34,1,item_4,infelicitous,mono
099039,unos,34,1,item_5,infelicitous,mono
099039,unos,34,1,item_6,infelicitous,mono
099039,unos,34,1,item_7,infelicitous,mono
099039,unos,34,1,item_8,infelicitous,mono
099039,unos,34,0,item_9,infelicitous,mono
099039,unos,34,0,item_10,infelicitous,mono
099347,algunos,44,1,item_1,felicitous,mono
099347,algunos,44,1,item_2,felicitous,mono
099347,algunos,44,1,item_3,felicitous,mono
099347,algunos,44,1,item_4,felicitous,mono
099347,algunos,44,1,item_5,felicitous,mono
